상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,lon,lat,총_유동인구_수,남성_유동인구_수_ratio,연령대_10_유동인구_수_ratio,연령대_20_유동인구_수_ratio,연령대_30_유동인구_수_ratio,연령대_40_유동인구_수_ratio,연령대_50_유동인구_수_ratio,시간대_00_06_유동인구_수_ratio,시간대_06_11_유동인구_수_ratio,시간대_11_14_유동인구_수_ratio,시간대_14_17_유동인구_수_ratio,시간대_17_21_유동인구_수_ratio,월요일_유동인구_수_ratio,화요일_유동인구_수_ratio,수요일_유동인구_수_ratio,목요일_유동인구_수_ratio,금요일_유동인구_수_ratio,토요일_유동인구_수_ratio
A,골목상권,3110369,성신여대운정그린캠퍼스,202277,459283,11305,강북구,11305535,미아동,133932,127.02579638357508,37.6331542575774,1286508.0,0.484376312,0.078736393,0.265166637,0.153981165,0.132959919,0.148699425,0.283803132,0.205624839,0.109566361,0.110523215,0.156385347,0.141118548,0.140626518,0.140321817,0.14060864,0.139158979,0.145390581
A,골목상권,3110370,도봉세무서,202381,457675,11305,강북구,11305555,송천동,108984,127.0269693758849,37.61866612696216,1286821.0,0.465778846,0.128796068,0.105817807,0.124710042,0.147633905,0.188958872,0.207585659,0.190462869,0.133118541,0.139789233,0.19756097,0.14564529,0.143686982,0.144448546,0.143192742,0.142622346,0.141308259
A,골목상권,3110396,쌍문역1번(쌍리단길),203218,460963,11320,도봉구,11320511,창1동,52971,127.03646447195636,37.64828798329227,900805.0,0.464111029,0.124200021,0.138571611,0.153559316,0.136442404,0.168402706,0.256999842,0.218108005,0.121365755,0.11752697,0.160642802,0.142652405,0.141546728,0.142185046,0.140929502,0.141901965,0.14128474
A,골목상권,3110397,도봉산입구,203332,464982,11320,도봉구,11320521,도봉1동,542024,127.03777459924744,37.684497981920416,1465791.0,0.486574825,0.124757128,0.095455563,0.106377303,0.128815002,0.173133023,0.261901773,0.203424092,0.118203153,0.121947892,0.165600802,0.139608675,0.138027275,0.137886737,0.140495569,0.139869286,0.148028026
A,골목상권,3110398,쌍문2동우체국,203278,461696,11320,도봉구,11320670,쌍문2동,102318,127.03714764587912,37.654891974674136,867785.0,0.451542721,0.168593798,0.121018594,0.136641146,0.145435961,0.154721682,0.269948201,0.196595931,0.113653728,0.116353705,0.169849675,0.142506825,0.141704781,0.141036411,0.14079672,0.141353311,0.146250848
A,골목상권,3110399,창2동주민센터,203454,460218,11320,도봉구,11320512,창2동,161205,127.03913516200645,37.64157479754697,1825425.0,0.469629812,0.166601842,0.131561215,0.148121751,0.152637415,0.151079968,0.307338123,0.210487305,0.101362093,0.097496694,0.147142092,0.141775673,0.14095066,0.13952524,0.141730752,0.139967876,0.144588167
A,골목상권,3110390,방학초등학교,202823,462590,11320,도봉구,11320700,방학2동,61821,127.0319948557538,37.66294826180096,561669.0,0.456550845,0.169918884,0.094552298,0.114338008,0.129213343,0.163997237,0.222443191,0.192209975,0.131877073,0.131040278,0.193041428,0.1398419,0.14006267,0.139240123,0.140797977,0.13979561,0.147259067
A,골목상권,3110391,샘말어린이공원,202929,463310,11320,도봉구,11320700,방학2동,245401,127.0331991103168,37.66943498973112,486772.0,0.462187636,0.135131582,0.105497463,0.114168909,0.145943669,0.1591799,0.296668666,0.208656209,0.107222683,0.106084573,0.152350587,0.13957105,0.138266532,0.137555724,0.13766666,0.137461224,0.150263985
A,골목상권,3110392,발바닥공원,202856,462194,11320,도봉구,11320681,쌍문4동,10355,127.03236731659004,37.65938027373328,99160.0,0.437480461,0.170861822,0.090760574,0.114761703,0.149422158,0.168895343,0.193241294,0.18922762,0.12756023,0.159982251,0.214963544,0.136714299,0.132640198,0.13159142,0.134273872,0.133517542,0.165686799
A,골목상권,3110393,국민은행방학지점,202933,462499,11320,도봉구,11320710,방학3동,21358,127.03324118997118,37.66212802425333,41786.0,0.452232805,0.158015651,0.100533659,0.11673487,0.126402948,0.166582909,0.163735133,0.180558547,0.145499797,0.163950511,0.228755355,0.137147917,0.135520616,0.13614282,0.137602604,0.136836815,0.156172972
A,골목상권,3110373,수유역 2번,202534,459700,11305,강북구,11305595,번1동,84732,127.02870941001596,37.63691069400108,1203307.0,0.458801003,0.093495597,0.200091747,0.151897935,0.149473784,0.156717981,0.268233517,0.201896276,0.115983798,0.118437039,0.165077711,0.142616259,0.142971115,0.141548368,0.140771342,0.140822866,0.142909617
A,골목상권,3110374,송중초등학교,202711,457804,11305,강북구,11305545,송중동,204374,127.0307077341858,37.61982748768701,2636939.0,0.449418265,0.148070982,0.116239366,0.124872864,0.155670706,0.174325676,0.281019288,0.209765107,0.114301046,0.109823128,0.154866246,0.143608122,0.144123112,0.142912239,0.1428527,0.141307728,0.140546998
A,골목상권,3110375,서울북부고용노동지청,202797,459422,11305,강북구,11305603,번2동,58262,127.03168805185044,37.63440519237552,650222.0,0.472281775,0.143449689,0.126198631,0.116855654,0.157869401,0.170289794,0.254329277,0.205332316,0.117840929,0.117610239,0.172531312,0.139783028,0.140073698,0.140250561,0.139549262,0.13974458,0.145522606
A,골목상권,3110376,수송초등학교,202774,459976,11305,강북구,11305595,번1동,208928,127.03142958043486,37.63939671921139,3058776.0,0.475167363,0.132039331,0.157869254,0.134880335,0.154679745,0.162319397,0.304469301,0.2012794,0.101590897,0.101227353,0.152270286,0.142176712,0.142144347,0.14085102,0.141995921,0.140665325,0.143592964
A,골목상권,3110377,미아사거리역 3번,202936,456864,11305,강북구,11305545,송중동,35635,127.03325255681033,37.61135750702981,820219.0,0.44566756,0.157505303,0.144483187,0.134639487,0.155054741,0.163863354,0.194833569,0.198548435,0.147789978,0.14790702,0.193686313,0.144293346,0.142671826,0.14431773,0.142697429,0.144233606,0.144990722
