brand,brand_avg_WKND_RT,brand_avg_시간_0813,brand_avg_시간_1417,brand_avg_시간_1821,brand_avg_남성_20대,brand_avg_남성_30대,brand_avg_남성_40대,brand_avg_남성_50대,brand_avg_남성_60대,brand_avg_여성_20대,brand_avg_여성_30대,brand_avg_여성_40대,brand_avg_여성_50대,brand_avg_소득3천만이하,brand_avg_소득5천만이하,brand_avg_소득7천만이하,brand_avg_소득1억이하,brand_avg_소득1억초과,brand_avg_생애단계_싱글,brand_avg_생애단계_청소년,brand_avg_avg_order_cost,"brand_MCT_RY_NM_공연장,극장",brand_MCT_RY_NM_농가공산품,brand_MCT_RY_NM_농수산물,brand_MCT_RY_NM_부페,brand_MCT_RY_NM_식품류제조업,brand_MCT_RY_NM_식품잡화,brand_MCT_RY_NM_양식,"brand_MCT_RY_NM_용역서비스(연구,번역등)",brand_MCT_RY_NM_일반대중음식,brand_MCT_RY_NM_일식,"brand_MCT_RY_NM_전문서비스(회계,변리,컨설팅등)",brand_MCT_RY_NM_제과점,brand_MCT_RY_NM_중식,brand_MCT_RY_NM_청과물,brand_MCT_RY_NM_커피전문점,brand_MCT_RY_NM_패스트푸드,brand_MCT_RY_NM_한식,brand_MCT_RY_NM_할인점/슈퍼마켓,brand_MCT_RY_NM_화원,brand_MCT_RY_NM2_간식,brand_MCT_RY_NM2_건강식품,brand_MCT_RY_NM2_기타,brand_MCT_RY_NM2_농축수산물,brand_MCT_RY_NM2_부페,brand_MCT_RY_NM2_식품,brand_MCT_RY_NM2_식품제조,brand_MCT_RY_NM2_아시아음식,brand_MCT_RY_NM2_양식,brand_MCT_RY_NM2_유흥주점,brand_MCT_RY_NM2_음료,brand_MCT_RY_NM2_주점및주류판매,brand_MCT_RY_NM2_패스트푸드,brand_MCT_RY_NM2_한식,brand_OUB_RY_MI_CZ_NM_다방/커피숍/카페,brand_OUB_RY_MI_CZ_NM_별식/퓨전요리,brand_OUB_RY_MI_CZ_NM_분식,brand_OUB_RY_MI_CZ_NM_뷔페,brand_OUB_RY_MI_CZ_NM_서비스,brand_OUB_RY_MI_CZ_NM_소매,brand_OUB_RY_MI_CZ_NM_수산물,brand_OUB_RY_MI_CZ_NM_양식,brand_OUB_RY_MI_CZ_NM_유흥주점,brand_OUB_RY_MI_CZ_NM_일식,brand_OUB_RY_MI_CZ_NM_전자/정보통신,brand_OUB_RY_MI_CZ_NM_제과제빵떡케익,brand_OUB_RY_MI_CZ_NM_중식,brand_OUB_RY_MI_CZ_NM_패스트푸드,brand_OUB_RY_MI_CZ_NM_한식
장독계,0.26063,0.0,0.03403,0.89272,0.17593,0.28919,0.08632,0.10329,0.0,0.2518,0.06379,0.02303,0.00665,0.18224,0.36292,0.15777,0.10058,0.13299,0.71906,0.13981,73728.82918,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
포삼팔,0.148195,0.713785,0.148845,0.13737,0.05235,0.163025,0.149905,0.069255,0.01974,0.10419,0.17005,0.14783,0.08457,0.12945,0.327055,0.206635,0.11769,0.19715,0.440745,0.308555,18029.40242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
달빛소굴,0.36468,0.0,0.0,0.02605,0.18764,0.20353,0.15276,0.22075,0.0468,0.03223,0.09448,0.06181,0.0,0.17528,0.28918,0.04327,0.08168,0.33775,0.45784,0.42252,98429.63433,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
미미방,0.30079,0.16613,0.0,0.44146,0.08299,0.15794,0.11927,0.17757,0.11065,0.09191,0.07168,0.14961,0.03837,0.13206,0.45271,0.09816,0.05741,0.25967,0.43694,0.34057,39204.04372,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
삼평식당,0.35081,0.09273,0.03672,0.66294,0.13944,0.20887,0.15068,0.1302,0.0088,0.18198,0.11781,0.03658,0.02564,0.20946,0.28791,0.27136,0.15839,0.07143,0.60401,0.2365,60332.74598,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
고우,0.3965975,0.0,0.01658,0.542695,0.1097175,0.2868075,0.1183525,0.051105,0.0115025,0.18168,0.1560675,0.05905,0.012505,0.1620275,0.3282725,0.186205,0.1777025,0.1375525,0.63479,0.1725875,96636.91594,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
든든덮밥&곱도리,0.25721,0.444845,0.208015,0.309905,0.144225,0.17363,0.060525,0.03617,0.033025,0.312065,0.114555,0.07947,0.04065,0.243315,0.35603,0.121555,0.097775,0.12041,0.70503,0.13825,23693.97628,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
라스트춘선,0.3880225,0.0,0.0045675,0.52181,0.160905,0.18238,0.0489825,0.02579,0.014975,0.38041,0.127945,0.032595,0.0190475,0.258015,0.423215,0.16766,0.072825,0.05774,0.817935,0.078635,72961.11869,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
사쿠라테이엔,0.343765,0.0,0.00554,0.4675625,0.204945,0.214965,0.1382525,0.06776,0.0206525,0.1436475,0.0734825,0.101805,0.0320275,0.1791875,0.38595,0.1961425,0.09474,0.1386475,0.5833525,0.264925,88397.56791,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
산타바바라,0.52913,0.13474,0.12587,0.61014,0.13163,0.23608,0.0611,0.0319,0.00536,0.28577,0.18495,0.03863,0.02458,0.19721,0.44663,0.10699,0.12262,0.07916,0.82625,0.07962,53693.06054,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
